respid,constituency.x,urban.x,old_branch_position,ps2018_contestant,won_seat,ps2018_contest_position,years_active_npp,age,female,chief_relative,pol_relative,da_relative,constexec_relative,mpdce_relative,local_eth_minority,lives_outside_ps,years_comm,formal_sector,helps_comm_w_party,helps_comm_w_da,helps_party_idcomm,campaign_canvass,campaign_gifts,campaign_jobs,campaign_assistance,campaign_workwchief,campaign_orgevents,campaign_orgrallies,campaign_orgtransport,campaign_drivevoters,yea_since2016.x,gov_loan_since2016.x,training_since2016.x,paid_for_campaign,paid_for_camp_money,paid_for_camp_loan,paid_for_camp_cloth,paid_for_camp_food,paid_for_camp_credit,paid_for_camp_bicycle,paid_for_camp_moto,paid_for_camp_phone,paid_post_camp_loan.x,paid_post_camp_bicycle.x,paid_post_camp_moto.x,paid_post_camp_contracts.x,paid_post_camp_job.x,paid_post_camp_training.x,contestation_type,wealth_index_2km.x,npp_const_2016.x,comp_const_2016.x,cxn_down_percentage_correct_full,cxn_up_percentage_correct_full,pres2012_ps_margin,bio_educ_three,cpgn_brok_index,broker_down,broker_up,asset_index,petty_trader,cxn_up_constexecs,cxn_up_bureaucrats,cxn_up_politicians,asset_total.x,payments.increase_pay_open,version.y,asset_total.y,yea_since2016.y,gov_loan_since2016.y,training_since2016.y,paid_post_camp_loan.y,paid_post_camp_bicycle.y,paid_post_camp_moto.y,paid_post_camp_contracts.y,paid_post_camp_job.y,paid_post_camp_training.y,cxn_up_percentage_correct_full_w2,cxn_up_constexecs_w2,cxn_up_bureaucrats_w2,cxn_up_politicians_w2,expected_personal_category1.x,expected_personal_category2.x,expected_personal_category3.x,expected_personal_category4.x,expected_personal_category1.y,expected_personal_category2.y,expected_personal_category3.y,expected_personal_category4.y,job_immed,job_after,train_immed,train_after,loan_immed,loan_after,bike_moto_immed,bike_moto_after,contracts_immed,contracts_after,big_pat_immed,big_pat_after,big_pat_total,big_pat_after2,small_pat_immed,small_pat_after,small_pat_total,cloth_immed,cloth_after,food_immed,food_after,money_immed,money_after,inputs_immed,inputs_after,electronics_immed,electronics_after,nothing_immed,nothing_after,change_econ_retro,change_consumer_conf,change_total_assets,npp12to16_ps_swing.NEW,helps_comm_w_party.y,helps_comm_w_da.y,helps_party_idcomm.y,howto_paid_r1,howto_paid_r2,howto_cxnup,howto_effort_performance,km_to_capital_wave1,broker_up.y,broker_down.y,current_exec,newly_elected,change_cnx_up,swing_2012_2016_const,npp_rawvotes,anon.ps.name,paid_camp_big,paid_for_camp_bike_moto,paid_camp_small,expects.accomodation,expects.bur.favors,expects.fees,expects.cash,expects.inputs,expects.job,expects.job.family,expects.loan,expects.moto,expects.other,not_paid_for_campaign,nothing_start_to_immed,nothing_start_to_after,major_start_to_immed,major_start_to_after,minor_start_to_immed,minor_start_to_after
10347,north_tongu,0,1,1,1,secretary,6,31,0,1,1,1,0,0,0,0,26,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,uncontested,-0.7754654,0,0,0.75,0.2,0.860655737704918,1,7,1,1,2,0,0.3,0,0.285714285714286,2,NO,V13,3,0,0,0,0,0,0,0,0,0,0.16,0.2,0,0.285714285714286,benefits,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,1,-0.0135326261652201,1,0,0,impossible,,0,0,25.6494600131355,1,0,1,0,-0.04,0.0209884897662375,-3,PS108,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
10348,north_tongu,0,1,1,1,chair,26,55,0,0,1,1,0,0,0,0,20,0,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,uncontested,-0.7754654,0,0,0,0.28,0.860655737704918,1,6,0,1,2,0,0.5,0.125,0.142857142857143,2,None,V13,3,0,0,0,0,0,0,0,0,0,0.2,0.3,0.125,0.142857142857143,job,,,,cash,loan,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1,1,-0.0135326261652201,1,0,0,impossible,,0,0,25.6494600131355,1,0,1,0,-0.08,0.0209884897662375,-3,PS108,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0
10621,north_tongu,0,0,1,NA,secretary,11,29,0,1,1,0,0,0,0,0,29,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,contested,-0.4119705,0,0,0.291666666666667,0.12,0.78125,2,3,1,1,4,0,0.1,0,0.285714285714286,4,YES,V13,4,0,0,0,0,0,0,0,0,0,0.2,0.3,0,0.285714285714286,improve  economy,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,0,-0.061547256097561,0,0,0,NA,,NA,NA,8.91128101696656,0,0,1,1,0.08,0.0209884897662375,-21,PS109,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
10625,north_tongu,0,1,1,1,women_org,18,52,1,1,1,1,0,0,0,0,52,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,uncontested,-0.4119705,0,0,0.125,0.16,0.78125,1,5,1,1,4,0,0.2,0,0.285714285714286,4,Continually contacting the hierarchy for assistance in campaigning,V13,3,0,0,0,0,0,0,0,0,0,0.2,0.3,0,0.285714285714286,job for family,cash,household item,,cash,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,-1,-0.061547256097561,0,0,0,connect_up,,1,0,8.91128101696656,0,0,1,0,0.04,0.0209884897662375,-21,PS109,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0
10622,north_tongu,0,1,0,NA,NA,14,54,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,-0.4119705,0,0,0,0.2,0.78125,1,4,0,0,4,0,0.2,0,0.428571428571429,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,job for family,,,,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,NA,NA,NA,NA,-0.061547256097561,NA,NA,NA,NA,,NA,NA,8.91128101696656,NA,NA,NA,0,NA,0.0209884897662375,-21,PS109,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,NA,1,NA
10623,north_tongu,0,1,1,1,chair,18,58,0,1,1,1,0,0,0,0,58,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,uncontested,-0.4119705,0,0,0.208333333333333,0.2,0.78125,1,6,0,1,1,0,0.2,0,0.428571428571429,1,None,V13,3,0,0,0,0,0,0,0,0,0,0.24,0.1,0,0.714285714285714,accommodation,,,,inputs,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,-0.061547256097561,1,1,0,impossible,,0,0,8.91128101696656,1,0,1,0,0.04,0.0209884897662375,-21,PS109,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
10624,north_tongu,0,1,1,1,org,15,37,0,1,1,1,0,0,0,0,37,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,uncontested,-0.4119705,0,0,0.458333333333333,0.08,0.78125,1,1,0,0,1,0,0,0,0.285714285714286,1,None,V13,5,0,0,0,0,0,0,0,0,0,0.08,0,0,0.285714285714286,cash,,,,building materials,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,4,-0.061547256097561,0,0,0,impossible,,0,0,8.91128101696656,0,0,1,0,0,0.0209884897662375,-21,PS109,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0
10626,north_tongu,0,0,1,1,secretary,2,23,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,uncontested,-0.4119705,0,0,0,0.12,0.78125,2,4,0,0,4,0,0.1,0,0.285714285714286,4,Recruit more people at the polling station,V13,5,0,0,0,0,0,0,0,0,0,0.04,0,0,0.142857142857143,job,,,,cash,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,1,-0.061547256097561,0,0,0,performance,,0,1,8.91128101696656,0,0,1,1,-0.08,0.0209884897662375,-21,PS109,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0
10627,north_tongu,0,1,1,1,women_org,24,35,0,1,1,1,0,0,0,0,35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,uncontested,-0.4119705,0,0,0.458333333333333,0.08,0.78125,1,1,0,0,3,0,0,0,0.285714285714286,3,None,V13,4,0,0,0,0,0,0,0,0,0,0.08,0,0,0.285714285714286,loan,,,,building materials,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,-0.061547256097561,1,0,0,impossible,,0,0,8.91128101696656,1,0,1,0,0,0.0209884897662375,-21,PS109,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0
10628,north_tongu,0,1,1,1,org,14,38,0,1,1,1,0,0,0,0,38,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,uncontested,-0.4119705,0,0,0.5,0.24,0.78125,1,3,0,0,3,0,0.2,0,0.571428571428571,3,None,V13,5,0,0,0,0,0,0,0,0,0,0.28,0.2,0.125,0.571428571428571,loan,,,,cash,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1,2,-0.061547256097561,0,0,0,impossible,,0,0,8.91128101696656,0,0,1,0,0.04,0.0209884897662375,-21,PS109,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0
10043,north_tongu,0,1,1,1,chair,22,55,0,0,0,0,0,0,0,0,44,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,uncontested,0.7897798,0,0,0.208333333333333,0.2,0.725293132328308,1,4,1,1,4,0,0.3,0.125,0.142857142857143,4,None,V13,4,0,0,0,0,0,0,0,0,0,0.2,0.3,0.125,0.142857142857143,loan,,,,business help,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,0,0.0706349617503329,1,0,0,impossible,,0,0,17.7643030807611,1,0,1,0,0,0.0209884897662375,20,PS110,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0
10044,north_tongu,0,1,1,1,org,19,43,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,backroom,0.7897798,0,0,0.291666666666667,0.2,0.725293132328308,1,4,0,0,6,0,0.3,0,0.285714285714286,6,None,V13,6,0,0,0,0,0,0,0,0,0,0.12,0.2,0,0.142857142857143,loan,job,,,cash,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,0,0.0706349617503329,1,0,0,impossible,,0,0,17.7643030807611,1,0,1,0,-0.08,0.0209884897662375,20,PS110,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0
10045,north_tongu,0,1,1,1,youth_org,22,41,0,0,0,0,0,0,0,0,38,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,contested,0.7897798,0,0,0.0833333333333333,0.36,0.725293132328308,2,7,1,1,5,0,0.5,0.25,0.285714285714286,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,job,,,,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,NA,NA,NA,NA,0.0706349617503329,NA,NA,NA,NA,,NA,NA,17.7643030807611,NA,NA,1,0,NA,0.0209884897662375,20,PS110,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,NA,0,NA,0,NA
10046,north_tongu,0,0,1,0,youth_org,10,31,1,0,1,0,0,0,0,0,31,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,contested,0.7897798,0,0,0.125,0.24,0.725293132328308,2,2,0,0,7,0,0.2,0.125,0.428571428571429,7,None,V13,6,0,0,0,0,0,0,0,0,0,0.12,0.2,0,0.142857142857143,loan,,,,cash,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,-1,0.0706349617503329,0,0,0,impossible,,0,0,17.7643030807611,0,0,0,0,-0.12,0.0209884897662375,20,PS110,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0
10047,north_tongu,0,1,1,1,women_org,18,35,1,0,1,0,1,0,1,0,14,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,uncontested,0.7897798,0,0,0.166666666666667,0.28,0.725293132328308,2,6,0,1,6,0,0.4,0,0.428571428571429,6,None,V13,6,0,0,0,0,0,0,1,0,0,0.52,0.7,0.125,0.714285714285714,job,job for family,,,contracts,,,,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0706349617503329,0,0,0,impossible,,0,0,17.7643030807611,0,0,1,0,0.24,0.0209884897662375,20,PS110,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0
10048,north_tongu,0,0,1,1,secretary,2,40,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,backroom,0.7897798,0,0,0.208333333333333,0.24,0.725293132328308,2,1,0,0,7,0,0.2,0,0.571428571428571,7,None,V13,8,0,0,0,0,0,0,0,0,0,0.24,0.2,0,0.571428571428571,loan,,,,cash,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1,1,0.0706349617503329,1,1,0,impossible,,0,0,17.7643030807611,1,0,1,1,0,0.0209884897662375,20,PS110,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0
10049,north_tongu,0,1,1,1,secretary,11,29,0,1,1,0,0,0,0,0,29,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,backroom,0.7897798,0,0,0.5,0.48,0.801484230055659,2,4,0,0,5,0,0.7,0.125,0.571428571428571,5,NO,V13,4,0,0,0,0,0,0,0,0,0,0.52,0.8,0.125,0.571428571428571,job,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,-1,0.0371057513914657,1,0,0,impossible,,0,0,18.1955220368672,1,0,1,0,0.04,0.0209884897662375,10,PS111,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0
10050,north_tongu,0,0,1,1,youth_org,10,27,0,1,1,1,0,0,0,0,27,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,uncontested,0.7897798,0,0,0.375,0.16,0.801484230055659,1,5,0,0,7,0,0.2,0,0.285714285714286,7,NO,V13,7,0,0,0,0,0,0,0,0,0,0.16,0.2,0,0.285714285714286,cash,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,0.0371057513914657,1,0,0,impossible,,0,0,18.1955220368672,1,0,1,1,0,0.0209884897662375,10,PS111,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0
